State,Year,Quarter,Data From,Data To
andaman-&-nicobar-islands,2018,1,1514745000000,1522175400000
andaman-&-nicobar-islands,2018,2,1522521000000,1530124200000
andaman-&-nicobar-islands,2018,3,1530383400000,1538073000000
andaman-&-nicobar-islands,2018,4,1538332200000,1545935400000
andaman-&-nicobar-islands,2019,1,1546281000000,1553711400000
andaman-&-nicobar-islands,2019,2,1554057000000,1561660200000
andaman-&-nicobar-islands,2019,3,1561919400000,1569609000000
andaman-&-nicobar-islands,2019,4,1569868200000,1577471400000
andaman-&-nicobar-islands,2020,1,1577817000000,1585333800000
andaman-&-nicobar-islands,2020,2,1585679400000,1593282600000
andaman-&-nicobar-islands,2020,3,1593541800000,1601231400000
andaman-&-nicobar-islands,2020,4,1601490600000,1609093800000
andaman-&-nicobar-islands,2021,1,1609439400000,1616869800000
andaman-&-nicobar-islands,2021,2,1617215400000,1624818600000
andaman-&-nicobar-islands,2021,3,1625077800000,1632767400000
andaman-&-nicobar-islands,2021,4,1633026600000,1640629800000
andaman-&-nicobar-islands,2022,1,1640975400000,1648405800000
andaman-&-nicobar-islands,2022,2,1648751400000,1656354600000
andaman-&-nicobar-islands,2022,3,1656613800000,1664303400000
andaman-&-nicobar-islands,2022,4,1664562600000,1672165800000
andhra-pradesh,2018,1,1514745000000,1522175400000
andhra-pradesh,2018,2,1522521000000,1530124200000
andhra-pradesh,2018,3,1530383400000,1538073000000
andhra-pradesh,2018,4,1538332200000,1545935400000
andhra-pradesh,2019,1,1546281000000,1553711400000
andhra-pradesh,2019,2,1554057000000,1561660200000
andhra-pradesh,2019,3,1561919400000,1569609000000
andhra-pradesh,2019,4,1569868200000,1577471400000
andhra-pradesh,2020,1,1577817000000,1585333800000
andhra-pradesh,2020,2,1585679400000,1593282600000
andhra-pradesh,2020,3,1593541800000,1601231400000
andhra-pradesh,2020,4,1601490600000,1609093800000
andhra-pradesh,2021,1,1609439400000,1616869800000
andhra-pradesh,2021,2,1617215400000,1624818600000
andhra-pradesh,2021,3,1625077800000,1632767400000
andhra-pradesh,2021,4,1633026600000,1640629800000
andhra-pradesh,2022,1,1640975400000,1648405800000
andhra-pradesh,2022,2,1648751400000,1656354600000
andhra-pradesh,2022,3,1656613800000,1664303400000
andhra-pradesh,2022,4,1664562600000,1672165800000
arunachal-pradesh,2018,1,1514745000000,1522175400000
arunachal-pradesh,2018,2,1522521000000,1530124200000
arunachal-pradesh,2018,3,1530383400000,1538073000000
